author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
g,0,"Awesome. You get 6 brand new questions Monday to Friday.  The questions are on a variety of topics and are challenging. This is the number one Alexa skill, hands down.",2016-06-10,04d99878-3c85-4ab7-a0a6-8f86c7837c31,5.0,Jeopardy!,1503629367.4557981,Awesome,7
John K.,0,Fun game! My husband and I play it everyday.,2017-01-08,fac5e5a4-dff8-46b8-be4c-bfabfacbdd53,5.0,Jeopardy!,1503629367.507232,Good game,4
Sir Digby,0,The latest update has chopped in sound bites from the live show featuring Alex Trebiec. It's HORRIFYINGLY BAD. it's terrifying to hear The live audience slit into the silence while you are trying to think. What the F'ing hell was the application developer thinking! Put it back and people will give you 5 stars! The new weekly score totaling for week is amazing. How could you ruin it like this?,2017-04-03,ff7f83ff-f404-4848-9918-a39bdfc1f982,1.0,Jeopardy!,1503629367.571588,It used to be the BEST Alexa app ever,7
I. Adams,0,I look forward to the jeopardy questions every day and I really like the recent addition of adding the statistics for the week. I haven't had any issues with the app and really enjoy it.One thing that I think would be kind of cool is if you could play as a specific person and each person in the household could play each day. Then have it keep track of each so you could see how you each did overall but also sort of have a jeopardy battle each week in the household.,2017-05-11,579cbfc6-4aae-417e-a4cb-613b2b8b6e3f,5.0,Jeopardy!,1503629367.6064448,One of my faborite apps for Alexa,1
Kelly Aman,0,"I would pay for a full version of this. Being able to simply say the answers to Jeopardy questions is awesome!I've been using this for a week now, and the only issue is if I wait too long to answer, it starts saying ""Please answer in the form of a question or say I don't know"", and you can't answer during that.",2016-12-31,f50212cf-bb21-4551-bb1f-ac793c13c1b4,5.0,Jeopardy!,1503629367.631912,"Works great, want more!",2
VT,0,We love watching Jeopardy and this did not disappoint.,2017-04-05,1fb26510-401e-482f-b494-3cb2ee09c4b1,5.0,Jeopardy!,1503629367.657711,Very fun skill!,2
Chumley,0,"Please take away ""Johnny"" yelling ""This is Jeopardy"" every time you open the app. It does not add to the experience and is not appropriate to be played in users homes.",2017-04-19,b8a6d665-e450-4003-8b01-e6768ee2059f,3.0,Jeopardy!,1503629367.6794631,Stop Yelling at Me,4
Meghan,0,"The app is pretty impressive on the one hand. It does a passable job of reading the clues, although it runs some of the words together a bit. It recognizes my answers most of the time. It reminds you to re-phrase as a question and won't let you barge in over it's reminders. It's fun to get to play along every day. But one thing annoying thing is how the history in the Alexa app shows the clue Alexa gave you and the question you responded with to the previous clue.Example: 1st Clue: ""Fashion journalist Camilla Morton wrote a book called ""How to Walk in"" these. Voice feedback: Alexa play Jeopardy.2nd Clue: In this 2008 film, Sean Penn starred as a member of San Francisco's board of supervisors. Voice feedback: What is high heels?",2016-12-30,261bf357-5e32-4991-af0c-710e4d5dd708,3.0,Jeopardy!,1503629373.450288,Fun Game with some Minor Glitches,6
Kaitlyn,0,"I love playing this Monday through Friday! I've only ever had one technical difficulty, the answer was ""chewing gum"" and I said ""gum"" and it didn't accept my answer so I got that question wrong.",2017-07-24,c0e3d019-0ee6-465a-a743-e15aa9d4b6de,5.0,Jeopardy!,1503629373.472408,Awesome,2
Jason Gans,0,"For the people who keep getting the 'Jeopardy' song by the Greg Kihn band- you need to first click, 'enable' on the Jeopardy skill within the Alexa app. (I too got the song before doing so, after enabling- works fine). As a side note, the Greg Kihn band is pretty good.",2016-01-08,09e1ddb6-27f2-4f09-9035-8c6f95f9382b,3.0,Jeopardy!,1503629373.494133,Greg Kihn Band,10
