author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
Charu,0,Well done Capital One!! Proud of you!!,2016-12-03,09afaabf-7660-4cc2-b5bd-13aabe5576f3,5.0,Capital One,1503627783.0885718,Well done !!,7
Meera,0,Works fast and smooth,2016-12-05,5a4c9d75-35b6-4750-9259-9ffd7f02f867,5.0,Capital One,1503627783.108592,Awesome,4
Amazon Customer,1,"When I try to enable the skillset, it says i cannot pair my account till an issue with my account is cleared. It prompted me to login to capital one website. i logged in. no where in the website it say what the issue is and how to clear this. I have tried using the alex app on the phone and alexa.amazon.com. Completely unfriendly user experiences.",2017-07-12,48cf9de1-8bed-4919-9b12-271be3c7be1d,1.0,Capital One,1503627783.1364481,Useless Application.,0
Kindle Customer,1,"Works well, but could really use some improvements. For starters, it would be nice to hear your most recent transactions when you ask for recent transactions. Instead, Alexa tells me the largest transactions in the past 30 days. What I really want to know is what went through yesterday! Also, would really like to see more support for bill pay and P2P payments, especially for accounts I already have set up. Overall, it's good for hearing your current balance though.",2016-12-28,b8818102-2538-4d39-9ff4-a93707e41c40,3.0,Capital One,1503627783.1672409,Pretty Good,7
Amazon Customer,1,It works great but i havent found a way to close a session. It just remains open so someone else could use it under my account.,2017-04-05,7d295080-46c0-488f-ac0d-d3f30526c327,3.0,Capital One,1503627783.199959,End a session,3
Amazon Customer,1,"Seems like it could be good,  but 99% of the time it states it ""cannot access the capital one skill right now""",2016-12-07,4a2d58a0-3a10-423f-9c46-3e7d88b42bf4,2.0,Capital One,1503627783.235481,What skill?,6
M. Pyyhkala,0,"This skill has many great features even in its first release. You can access many different accounts and perform a wide variety of transactions. Congratulations to Capital One  for embracing new technology! Many financial institutions take a far more conservative approach, and I am glad I am banking with capital one being on the edge. I also like subtle nuances like being able to turn off the extra pass code. I don't need that, and I am glad the capital one really thought this out.",2016-03-12,90ed6e98-4a99-4633-9e62-bf0bdb5b9c4b,5.0,Capital One,1503627783.2552,Congratulations Capital One for Being a Financial Services Tech Leader Excellent 1.0 Release,11
Jeff S,1,Fast to retrieve but wont let you make a one time payment as I pay off my card frequently instead of waiting to the end. So its not only good for quick balance,2016-10-26,aaaf6347-45e4-48a5-b08c-78c33f3f30a1,3.0,Capital One,1503627783.275059,Needs work but fast to retrieve,4
Amazon Customer,0,Just purchased my Alexa nd how easy to linked up my Capital One super quick nd easy.,2016-12-18,96b2f7e2-251f-4936-8b66-fd7d7f64de02,4.0,Capital One,1503627789.1023939,Quick n Easy,3
Amazon Customer,0,Just installed the app today and I'm having no trouble at all very accurate,2016-12-13,38a91b88-7b5d-49bc-87cd-d8c249718332,4.0,Capital One,1503627789.1258779,works fine,3
